6/29/2005,War of the Worlds,132000000,234280354
11/26/2014,Penguins of Madagascar,132000000,83350911
11/22/2013,The Hunger Games: Catching Fire,130000000,424668047
6/4/2004,Harry Potter and the Prisoner of Azkaban,130000000,249538952
8/3/2007,The Bourne Ultimatum,130000000,227471070
6/6/2008,Kung Fu Panda,130000000,215434591
7/17/2015,Ant-Man,130000000,178636091
3/27/2015,Home,130000000,177397510
10/28/2011,Puss in Boots,130000000,149260504
11/5/2010,Megamind,130000000,148415853
7/18/2003,Bad Boys II,130000000,138540870
4/11/2014,Rio 2,130000000,131538435
7/23/2010,Salt,130000000,118311368
3/28/2014,Noah,130000000,101200044
12/21/2011,The Adventures of Tintin,130000000,77591831
5/31/2013,After Earth,130000000,60522097
11/26/2008,Australia,130000000,49554002
7/19/2013,R.I.P.D.,130000000,33618855
11/18/2011,The Twilight Saga: Breaking Dawn Part 1,127500000,281287133
5/19/2000,Dinosaur,127500000,137748063
12/19/2014,Night at the Museum: Secret of the Tomb,127000000,113746621
7/15/2011,Harry Potter and the Deathly Hallows: Part II,125000000,381011219
11/21/2014,The Hunger Games: Mockingjay - Part 1,125000000,337135885
11/16/2001,Harry Potter and the Sorcerer’s Stone,125000000,317575550
7/9/2003,Pirates of the Caribbean: The Curse of the Black Pearl,125000000,305411224
11/19/2010,Harry Potter and the Deathly Hallows: Part I,125000000,295001070
5/19/2006,The Da Vinci Code,125000000,217536138
5/2/2003,X2,125000000,214949694
4/29/2011,Fast Five,125000000,209837675
8/8/2014,Teenage Mutant Ninja Turtles,125000000,191204754
12/16/2011,Sherlock Holmes: A Game of Shadows,125000000,186848418
5/28/2004,The Day After Tomorrow,125000000,186740799
4/1/2010,Clash of the Titans,125000000,163214888
5/19/1998,Godzilla,125000000,136142003
6/8/2012,Prometheus,125000000,126477084
8/10/2012,The Bourne Legacy,125000000,113203870
6/20/1997,Batman & Robin,125000000,107308328
8/3/2012,Total Recall,125000000,58877969
8/27/1999,The 13th Warrior,125000000,32694788
11/20/2015,The Hunger Games: Mockingjay - Part 2,125000000,0
11/17/2000,How the Grinch Stole Christmas,123000000,260044825
5/24/2000,Mission: Impossible 2,120000000,215409889
6/30/2000,The Perfect Storm,120000000,182618434
6/15/2007,Fantastic Four: Rise of the Silver Surfer,120000000,131921738
11/21/2012,Life of Pi,120000000,124987022
2/16/2007,Ghost Rider,120000000,115802596
6/27/2003,Charlie's Angels: Full Throttle,120000000,100814328
8/9/2013,Elysium,120000000,93050117
4/19/2013,Oblivion,120000000,89107235
7/19/2002,Stuart Little 2,120000000,64736114
2/12/2014,RoboCop,120000000,58607007
6/11/2004,The Chronicles of Riddick,120000000,57712751
8/7/2015,Fantastic Four,120000000,56086051
5/9/2008,Speed Racer,120000000,43945766
7/22/2005,The Island,120000000,35818913
12/17/2010,How Do You Know?,120000000,30212620
11/4/2016,Trolls,120000000,0
6/23/2010,Knight and Day,117000000,76423035
5/19/1999,Star Wars Ep. I: The Phantom Menace,115000000,474544677
5/19/2005,Star Wars Ep. III: Revenge of the Sith,115000000,380270577
