Release Date,Movie Title,Profit Amount
6/6/2003,2 Fast 2 Furious,51120058
12/25/2006,Children of Men,-40672232
6/30/2000,The Adventures of Rocky & Bullwinkle,-49999390
7/2/1996,Independence Day,231124059
5/22/1997,The Lost World: Jurassic Park,154074524
3/31/2006,Ice Age: The Meltdown,120330621
5/27/2005,Madagascar,118166575
6/25/2010,Grown Ups,87001186
10/1/2004,Shark Tale,86412000
7/14/2000,X-Men,82299717
6/27/2008,Wanted,59327125
6/7/1996,The Rock,58955936
2/13/2004,50 First Dates,45776832
7/20/2007,Hairspray,43871849
5/31/2013,Now You See Me,42723989
12/15/2006,Dreamgirls,28365956
7/23/1999,Inspector Gadget,22360069
11/11/2011,Immortals,8504017
6/18/2004,The Terminal,2073959
2/18/2005,Constantine,500759
7/21/2006,Monster House,-1338990
1/16/2009,Hotel for Dogs,-1965540
12/8/2000,Vertical Limit,-6526640
12/21/2007,Charlie Wilson's War,-8338905
4/16/1999,Life,-10983732
3/4/2005,Be Cool,-19150599
12/23/2005,Munich,-27620910
6/4/2010,Killers,-27940037
3/7/2003,Tears of the Sun,-31367542
7/21/2006,Lady in the Water,-32714831
12/17/2004,Spanglish,-32955679
10/12/2001,Bandits,-33476729
12/17/1999,Anna and the King,-35748872
7/7/1995,First Knight,-37972665
3/25/2011,Sucker Punch,-38607498
3/11/2005,Hostage,-40363557
6/13/2003,Hollywood Homicide,-44792215
6/16/2000,Titan A.E.,-52248021
12/17/2004,Flight of the Phoenix,-53990820
10/23/1998,Soldier,-60432117
1/15/1999,Virus,-60989310
2/23/2001,Monkeybone,-69590483
7/10/2015,Minions,260215500
2/6/2015,The SpongeBob Movie: Sponge Out of Water,88994032
11/22/2000,Unbreakable,21756037
8/4/2006,Talladega Nights: The Ballad of Ricky Bobby,75213377
8/7/1998,Snake Eyes,-17414611
2/13/1998,Sphere,-36023633
7/27/2007,The Simpsons Movie,110635014
2/8/2008,Fool's Gold,-2268959
7/31/2009,Funny People,-20644955
9/28/2007,The Kingdom,-25032750
6/22/2001,Doctor Dolittle 2,40950721
5/24/1995,Braveheart,3545647
11/4/2005,Jarhead,-9352460
4/27/2001,Driven,-39383131
12/21/2001,The Majestic,-44203958
6/25/2004,Two Brothers,-53052370
7/30/2004,The Village,42514545
6/26/1998,Doctor Dolittle,72656464
8/2/2002,Signs,157263071
5/19/2004,Shrek 2,366471036
6/9/2006,Cars,174082982
12/23/2009,Alvin and the Chipmunks: The Squeakquel,149614612
7/30/1999,Runaway Bride,82149590
6/22/1988,Who Framed Roger Rabbit?,81931137
8/9/2002,xXx,71715000
11/8/1996,Ransom,66448821
8/20/2009,Inglourious Basterds,50774594
7/3/1990,Die Hard 2,47323878
8/8/2003,S.W.A.T.,46877597
12/11/1991,Hook,39921554
11/19/1999,Sleepy Hollow,31068340
12/14/2001,Vanilla Sky,30614858
6/13/1997,Hercules,29046791
3/22/2013,Olympus Has Fallen,28927592
3/11/2011,Battle: Los Angeles,13552429
8/13/2004,AVP: Alien Vs. Predator,10281096
12/25/2011,War Horse,9883359
3/1/2002,We Were Soldiers,8120196
2/7/2014,The Monuments Men,8031620
12/11/1998,Star Trek: Insurrection,177571
12/10/2003,Big Fish,-3567133
1/20/2012,Underworld: Awakening,-7678961
6/17/1994,Wolf,-10513999
10/10/2014,Dracula Untold,-14008120
9/24/2010,Wall Street 2: Money Never Sleeps,-17525384
